,taxpayer_id,location,economic_sector,entity_type,beneficial_owners,registration_date,size,norm_size,size_category
43,A0043,Kisumu,Education,Individual,['A0043'],18/02/2008,1.194613346,6.04E-05,small
44,A0044,Eldoret,Water & Sanitation,Individual,['A0044'],02/02/2017,3.025887319,0.000152982,large
45,A0045,Nakuru,Waste Management,Individual,['A0045'],11/08/2014,1.240570998,6.27E-05,small
46,A0046,Garissa,Energy,Individual,['A0046'],13/02/2013,1.348506499,6.82E-05,small
47,A0047,Eldoret,ICT,Individual,['A0047'],06/06/2016,2.479893696,0.000125378,large
48,A0048,Kericho,Agriculture,Individual,['A0048'],14/12/2021,2.221598757,0.000112319,large
49,A0049,Nairobi,Construction,Individual,['A0049'],06/06/2008,1.045720297,5.29E-05,micro
50,A0050,Meru,Finance,Individual,['A0050'],07/10/2022,1.030738434,5.21E-05,micro
51,A0051,Meru,Legal & Professional Services,Individual,['A0051'],18/05/2018,1.189912372,6.02E-05,small
52,A0052,Mombasa,Energy,Individual,['A0052'],24/07/2013,1.215469448,6.15E-05,small
53,A0053,Garissa,Mining & Quarrying,Individual,['A0053'],13/11/2016,2.050675801,0.000103678,large
54,A0054,Nakuru,Water & Sanitation,Individual,['A0054'],22/04/2024,4.739428614,0.000239615,large
55,A0055,Nairobi,Arts & Culture,Individual,['A0055'],02/03/2021,1.136176807,5.74E-05,micro
56,A0056,Mombasa,Arts & Culture,Individual,['A0056'],05/11/2024,2.073364452,0.000104825,large
57,A0057,Nyeri,Education,Individual,['A0057'],29/03/2022,5.481263317,0.000277121,large
58,A0058,Meru,Transportation & Logistics,Individual,['A0058'],03/07/2007,2.536509081,0.00012824,large
59,A0059,Nakuru,Legal & Professional Services,Individual,['A0059'],19/07/2008,2.039808109,0.000103128,large
60,A0060,Kericho,Retail,Individual,['A0060'],13/03/2021,1.027154339,5.19E-05,micro
61,A0061,Kitale,Education,Individual,['A0061'],24/03/2016,1.736150224,8.78E-05,medium
62,A0062,Kisumu,Public Administration,Individual,['A0062'],22/05/2007,1.187116016,6.00E-05,small
63,A0063,Meru,Real Estate,Individual,['A0063'],17/11/2023,1.212040139,6.13E-05,small
64,A0064,Meru,Public Administration,Individual,['A0064'],29/08/2018,1.018388564,5.15E-05,micro
65,A0065,Eldoret,ICT,Individual,['A0065'],22/05/2013,1.37888045,6.97E-05,small
66,A0066,Kisumu,Water & Sanitation,Individual,['A0066'],19/06/2022,1.044135685,5.28E-05,micro
67,A0067,Nyeri,Retail,Individual,['A0067'],08/06/2018,1.341611723,6.78E-05,small
68,A0068,Thika,Entertainment & Media,Individual,['A0068'],09/06/2005,1.539645486,7.78E-05,medium
69,A0069,Mombasa,Telecommunications,Individual,['A0069'],16/09/2024,7.928292712,0.000400837,large
70,A0070,Nakuru,Healthcare,Individual,['A0070'],20/04/2006,1.059486859,5.36E-05,micro
71,A0071,Eldoret,Waste Management,Individual,['A0071'],08/10/2006,1.710023672,8.65E-05,medium
72,A0072,Mombasa,Entertainment & Media,Individual,['A0072'],21/04/2023,1.45999756,7.38E-05,medium
73,A0073,Mombasa,Water & Sanitation,Individual,['A0073'],06/03/2022,1.245403804,6.30E-05,small
74,A0074,Kisumu,ICT,Individual,['A0074'],19/10/2019,1.082108285,5.47E-05,micro
75,A0075,Kericho,Water & Sanitation,Individual,['A0075'],14/09/2008,1.119166631,5.66E-05,micro
76,A0076,Nakuru,Public Administration,Individual,['A0076'],26/07/2024,9.035413327,0.00045681,large
77,A0077,Garissa,Legal & Professional Services,Individual,['A0077'],02/10/2009,1.015667433,5.13E-05,micro
78,A0078,Nyeri,Transportation,Individual,['A0078'],06/07/2009,1.404049619,7.10E-05,small
79,A0079,Kitale,Real Estate,Individual,['A0079'],13/12/2013,1.053924939,5.33E-05,micro
80,A0080,Meru,Wholesale Trade,Individual,['A0080'],18/05/2013,1.196412824,6.05E-05,small
81,A0081,Kericho,Public Administration,Individual,['A0081'],16/02/2015,1.151486387,5.82E-05,micro
82,A0082,Mombasa,Healthcare,Individual,['A0082'],15/01/2010,1.250178025,6.32E-05,small
83,A0083,Mombasa,Transportation & Logistics,Individual,['A0083'],22/06/2005,1.123180735,5.68E-05,micro
84,A0084,Garissa,Water & Sanitation,Individual,['A0084'],01/03/2010,1.525897153,7.71E-05,medium
85,A0085,Garissa,Healthcare,Individual,['A0085'],28/02/2005,1.389498202,7.02E-05,small
86,A0086,Mombasa,Transportation,Individual,['A0086'],26/02/2019,1.055768996,5.34E-05,micro
87,A0087,Nairobi,Healthcare,Individual,['A0087'],07/07/2006,1.001675987,5.06E-05,micro
88,A0088,Nairobi,Transportation & Logistics,Individual,['A0088'],04/08/2006,1.24758465,6.31E-05,small
89,A0089,Nyeri,Healthcare,Individual,['A0089'],01/04/2011,1.102454848,5.57E-05,micro
90,A0090,Meru,Entertainment & Media,Individual,['A0090'],22/10/2009,1.314495602,6.65E-05,small
91,A0091,Nyeri,ICT,Individual,['A0091'],23/03/2021,2.665051275,0.000134739,large
92,A0092,Garissa,Waste Management,Individual,['A0092'],09/08/2015,1.162286909,5.88E-05,small
93,A0093,Eldoret,Entertainment & Media,Individual,['A0093'],11/02/2023,1.291583109,6.53E-05,small
94,A0094,Machakos,Hospitality,Individual,['A0094'],12/02/2007,1.35027697,6.83E-05,small
95,A0095,Mombasa,Arts & Culture,Individual,['A0095'],02/09/2014,1.589744888,8.04E-05,medium
96,A0096,Thika,Legal & Professional Services,Individual,['A0096'],22/03/2014,1.188842824,6.01E-05,small
97,A0097,Kericho,Manufacturing,Individual,['A0097'],08/02/2020,1.019179094,5.15E-05,micro
98,A0098,Meru,Wholesale Trade,Individual,['A0098'],18/03/2007,1.062913661,5.37E-05,micro
99,A0099,Nairobi,Energy,Individual,['A0099'],02/05/2021,1.579226901,7.98E-05,medium
100,A0100,Thika,Construction,Individual,['A0100'],30/07/2010,1.124816494,5.69E-05,micro
101,P0001,Nyeri,Mining & Quarrying,Non-Individual,['A0070'],23/02/2008,1.49391655,7.55E-05,medium
102,P0002,Kericho,Healthcare,Non-Individual,"['A0043', 'A0006']",12/08/2024,1.321911148,6.68E-05,small
103,P0003,Nyeri,Construction,Non-Individual,['A0007'],19/02/2006,2.523579476,0.000127587,large
104,P0004,Eldoret,Finance,Non-Individual,"['A0098', 'A0054', 'A0031']",12/02/2014,1.038191809,5.25E-05,micro
105,P0005,Machakos,Manufacturing,Non-Individual,"['A0100', 'A0097']",10/09/2008,1.756172085,8.88E-05,medium
106,P0006,Nakuru,Mining & Quarrying,Non-Individual,"['A0084', 'A0014']",26/05/2011,1.248432941,6.31E-05,small
107,P0007,Nyeri,Arts & Culture,Non-Individual,"['A0088', 'A0083']",11/02/2021,1.41676646,7.16E-05,medium
108,P0008,Nakuru,Hospitality,Non-Individual,"['A0032', 'A0070']",25/04/2006,1.24094302,6.27E-05,small
109,P0009,Kitale,Transportation & Logistics,Non-Individual,"['A0021', 'A0098', 'A0081']",14/04/2006,1.123949127,5.68E-05,micro
110,P0010,Kericho,Public Administration,Non-Individual,['A0099'],16/02/2024,2.109498201,0.000106652,large
111,P0011,Mombasa,Finance,Non-Individual,"['A0056', 'A0081', 'A0068']",16/07/2006,1.345067544,6.80E-05,small
112,P0012,Machakos,Construction,Non-Individual,"['A0011', 'A0022', 'A0012']",20/12/2024,2.74193675,0.000138626,large
113,P0013,Nairobi,Security Services,Non-Individual,"['A0048', 'A0099', 'A0076']",03/11/2006,2.83202873,0.000143181,large
114,P0014,Garissa,Public Administration,Non-Individual,"['A0002', 'A0099']",05/02/2012,1.212035688,6.13E-05,small
115,P0015,Kitale,Transportation & Logistics,Non-Individual,"['A0041', 'A0053']",10/05/2010,1.221174521,6.17E-05,small
116,P0016,Meru,Wholesale Trade,Non-Individual,"['A0025', 'A0077']",24/09/2011,2.209433678,0.000111704,large
117,P0017,Mombasa,Retail,Non-Individual,"['A0050', 'A0072']",13/04/2015,1.946562896,9.84E-05,medium
118,P0018,Nyeri,Hospitality,Non-Individual,"['A0059', 'A0074', 'A0001']",07/05/2016,1.123288036,5.68E-05,micro
119,P0019,Mombasa,Healthcare,Non-Individual,"['A0077', 'A0028']",16/04/2013,1.977325858,1.00E-04,medium
120,P0020,Nyeri,Transportation,Non-Individual,"['A0056', 'A0007']",15/10/2011,1.815385774,9.18E-05,medium
121,P0021,Meru,Water & Sanitation,Non-Individual,"['A0030', 'A0069', 'A0054']",19/09/2011,1.066587434,5.39E-05,micro
122,P0022,Mombasa,Construction,Non-Individual,"['A0034', 'A0078', 'A0029']",26/08/2021,1.567503501,7.92E-05,medium
123,P0023,Garissa,Hospitality,Non-Individual,"['A0032', 'A0094', 'A0067']",04/02/2021,1.126545727,5.70E-05,micro
124,P0024,Meru,Education,Non-Individual,"['A0041', 'A0003']",03/05/2016,1.004599086,5.08E-05,micro
125,P0025,Mombasa,Wholesale Trade,Non-Individual,"['A0086', 'A0023']",02/07/2014,1.328281058,6.72E-05,small
126,P0026,Thika,ICT,Non-Individual,"['A0040', 'A0084']",17/04/2019,1.013635488,5.12E-05,micro
127,P0027,Kericho,Water & Sanitation,Non-Individual,"['A0056', 'A0021']",29/10/2020,4.396606592,0.000222283,large
128,P0028,Mombasa,Agriculture,Non-Individual,"['A0042', 'A0054']",22/10/2024,1.548946405,7.83E-05,medium
129,P0029,Thika,Waste Management,Non-Individual,"['A0032', 'A0098', 'A0045']",24/05/2017,1.113484568,5.63E-05,micro
130,P0030,Kisumu,Manufacturing,Non-Individual,['A0079'],01/12/2011,1.014577668,5.13E-05,micro
131,P0031,Eldoret,Arts & Culture,Non-Individual,"['A0040', 'A0020']",07/08/2010,1.016380105,5.14E-05,micro
132,P0032,Nyeri,Legal & Professional Services,Non-Individual,"['A0034', 'A0020', 'A0052']",03/12/2018,3.316038478,0.000167652,large
133,P0033,Kisumu,Legal & Professional Services,Non-Individual,"['A0032', 'A0012', 'A0056']",23/07/2005,1.386233846,7.01E-05,small
134,P0034,Thika,Legal & Professional Services,Non-Individual,['A0021'],29/12/2022,1.224639117,6.19E-05,small
135,P0035,Kisumu,Transportation,Non-Individual,"['A0021', 'A0048', 'A0094']",05/06/2007,1.272146865,6.43E-05,small
136,P0036,Eldoret,Hospitality,Non-Individual,"['A0045', 'A0057']",26/04/2023,1.01580334,5.14E-05,micro
137,P0037,Eldoret,Healthcare,Non-Individual,"['A0028', 'A0017']",13/07/2005,1.213950166,6.14E-05,small
138,P0038,Nakuru,Agriculture,Non-Individual,"['A0070', 'A0004', 'A0008']",07/05/2022,1.351390763,6.83E-05,small
139,P0039,Nyeri,Energy,Non-Individual,"['A0028', 'A0038']",29/03/2020,1.674651037,8.47E-05,medium
140,P0040,Nakuru,Finance,Non-Individual,"['A0008', 'A0046', 'A0091']",09/01/2018,2.638084536,0.000133376,large
141,P0041,Garissa,Legal & Professional Services,Non-Individual,"['A0045', 'A0034']",02/10/2012,1.083329001,5.48E-05,micro
142,P0042,Nyeri,Construction,Non-Individual,"['A0050', 'A0079', 'A0033']",22/08/2013,1.031479915,5.21E-05,micro
143,P0043,Kitale,Legal & Professional Services,Non-Individual,"['A0070', 'A0086', 'A0040']",14/01/2005,1.976069828,9.99E-05,medium
144,P0044,Kitale,Arts & Culture,Non-Individual,"['A0062', 'A0003', 'A0087']",03/06/2009,2.543156838,0.000128576,large
145,P0045,Meru,Transportation & Logistics,Non-Individual,"['A0079', 'A0011']",23/12/2018,1.036582291,5.24E-05,micro
146,P0046,Kitale,Real Estate,Non-Individual,"['A0002', 'A0005']",17/05/2016,1.060728129,5.36E-05,micro
147,P0047,Thika,Energy,Non-Individual,"['A0053', 'A0018']",21/08/2020,1.017811533,5.15E-05,micro
148,P0048,Eldoret,Legal & Professional Services,Non-Individual,"['A0080', 'A0077']",01/12/2019,2.189947539,0.000110719,large
149,P0049,Kisumu,Security Services,Non-Individual,"['A0022', 'A0061']",07/10/2017,3.142499282,0.000158878,large
150,P0050,Nairobi,Real Estate,Non-Individual,"['A0004', 'A0080']",09/06/2011,1.414319494,7.15E-05,medium
151,P0051,Garissa,Security Services,Non-Individual,['A0079'],08/09/2019,5.412804373,0.000273659,large
152,P0052,Kericho,Arts & Culture,Non-Individual,"['A0090', 'A0007']",17/10/2009,1.203290868,6.08E-05,small
153,P0053,Meru,Agriculture,Non-Individual,"['A0057', 'A0021', 'A0089']",14/05/2011,2.220122598,0.000112244,large
154,P0054,Thika,Agriculture,Non-Individual,"['A0002', 'A0085', 'A0060']",11/05/2023,1.297202646,6.56E-05,small
155,P0055,Nakuru,Healthcare,Non-Individual,['A0022'],03/02/2023,2.603881983,0.000131647,large
156,P0056,Nairobi,Manufacturing,Non-Individual,['A0013'],29/06/2010,1.154458942,5.84E-05,small
157,P0057,Mombasa,Mining & Quarrying,Non-Individual,"['A0095', 'A0093']",19/04/2014,1.023607341,5.18E-05,micro
158,P0058,Kitale,Energy,Non-Individual,"['A0049', 'A0070', 'A0075']",02/02/2016,1.088959601,5.51E-05,micro
159,P0059,Meru,Transportation,Non-Individual,"['A0048', 'A0013']",15/02/2005,1.431971412,7.24E-05,medium
160,P0060,Machakos,Healthcare,Non-Individual,['A0052'],11/12/2008,1.931075441,9.76E-05,medium
161,P0061,Nyeri,Healthcare,Non-Individual,"['A0047', 'A0090', 'A0023']",11/01/2024,2.07987652,0.000105154,large
162,P0062,Kisumu,Mining & Quarrying,Non-Individual,['A0037'],22/12/2019,1.000710826,5.06E-05,micro
163,P0063,Kericho,Security Services,Non-Individual,"['A0042', 'A0076', 'A0050']",13/04/2023,20.06929391,0.001014659,large
164,P0064,Kericho,Finance,Non-Individual,"['A0051', 'A0009', 'A0080']",06/09/2021,1.245837027,6.30E-05,small
165,P0065,Eldoret,Wholesale Trade,Non-Individual,"['A0065', 'A0029']",22/03/2011,1.198815411,6.06E-05,small
166,P0066,Nakuru,Mining & Quarrying,Non-Individual,"['A0055', 'A0064', 'A0012']",27/09/2006,1.111016217,5.62E-05,micro
167,P0067,Thika,Transportation & Logistics,Non-Individual,"['A0067', 'A0012', 'A0094']",11/02/2017,1.215096142,6.14E-05,small
168,P0068,Kisumu,Healthcare,Non-Individual,['A0078'],04/08/2013,1.395703657,7.06E-05,small
169,P0069,Mombasa,Legal & Professional Services,Non-Individual,"['A0032', 'A0092', 'A0097']",22/02/2014,3.720351461,0.000188093,large
170,P0070,Machakos,Manufacturing,Non-Individual,"['A0098', 'A0090']",22/08/2009,1.961749804,9.92E-05,medium
171,P0071,Garissa,Transportation,Non-Individual,"['A0014', 'A0093']",10/06/2005,4.814217861,0.000243396,large
172,P0072,Thika,Real Estate,Non-Individual,"['A0063', 'A0100', 'A0084']",25/11/2021,3.530702152,0.000178504,large
173,P0073,Kitale,Water & Sanitation,Non-Individual,"['A0039', 'A0062']",10/12/2022,1.828784853,9.25E-05,medium
174,P0074,Machakos,Entertainment & Media,Non-Individual,"['A0010', 'A0055', 'A0094']",26/08/2005,2.437852683,0.000123252,large
175,P0075,Meru,Energy,Non-Individual,"['A0096', 'A0053']",30/03/2021,1.147613299,5.80E-05,micro
176,P0076,Kisumu,Security Services,Non-Individual,['A0090'],24/12/2016,2.381592751,0.000120408,large
177,P0077,Garissa,Waste Management,Non-Individual,['A0025'],15/11/2019,6.290280372,0.000318023,large
178,P0078,Meru,Legal & Professional Services,Non-Individual,['A0019'],17/01/2008,1.042823862,5.27E-05,micro
179,P0079,Nakuru,Energy,Non-Individual,"['A0043', 'A0023']",05/05/2012,2.082159877,0.000105269,large
180,P0080,Thika,Transportation & Logistics,Non-Individual,['A0037'],27/01/2022,4.124064196,0.000208504,large
181,P0081,Machakos,Education,Non-Individual,"['A0006', 'A0072']",23/09/2023,2.88454884,0.000145836,large
182,P0082,Nairobi,Water & Sanitation,Non-Individual,['A0057'],03/03/2006,1.024315655,5.18E-05,micro
183,P0083,Mombasa,Wholesale Trade,Non-Individual,"['A0010', 'A0030']",26/11/2005,1.176234481,5.95E-05,small
184,P0084,Eldoret,Retail,Non-Individual,['A0048'],08/12/2018,1.50631832,7.62E-05,medium
185,P0085,Kisumu,Entertainment & Media,Non-Individual,['A0012'],07/01/2020,1.26181099,6.38E-05,small
186,P0086,Eldoret,Mining & Quarrying,Non-Individual,['A0059'],09/09/2020,1.130977345,5.72E-05,micro
187,P0087,Kisumu,Security Services,Non-Individual,"['A0093', 'A0026']",15/08/2018,1.979138771,0.000100061,medium
188,P0088,Kisumu,Real Estate,Non-Individual,"['A0075', 'A0091', 'A0052']",05/06/2007,1.118990478,5.66E-05,micro
189,P0089,Meru,Energy,Non-Individual,"['A0046', 'A0017', 'A0049']",24/11/2013,3.653047679,0.00018469,large
190,P0090,Kitale,Wholesale Trade,Non-Individual,"['A0016', 'A0001', 'A0058']",13/06/2010,1.305437738,6.60E-05,small
191,P0091,Nakuru,Arts & Culture,Non-Individual,['A0088'],20/06/2018,1.064220298,5.38E-05,micro
192,P0092,Nairobi,Telecommunications,Non-Individual,['A0059'],13/12/2016,1.146073413,5.79E-05,micro
193,P0093,Mombasa,Public Administration,Non-Individual,"['A0002', 'A0026']",11/07/2019,5.326464345,0.000269294,large
194,P0094,Kericho,Construction,Non-Individual,"['A0054', 'A0039']",22/09/2014,1.119952615,5.66E-05,micro
195,P0095,Kitale,ICT,Non-Individual,"['A0085', 'A0037']",08/10/2014,1.033315187,5.22E-05,micro
196,P0096,Nyeri,Wholesale Trade,Non-Individual,['A0083'],22/01/2011,1.79952556,9.10E-05,medium
197,P0097,Kericho,Legal & Professional Services,Non-Individual,"['A0062', 'A0052', 'A0100']",10/07/2023,1.99989711,0.00010111,large
198,P0098,Eldoret,Agriculture,Non-Individual,"['A0058', 'A0094', 'A0035']",04/04/2011,1.348335811,6.82E-05,small
199,P0099,Kericho,Waste Management,Non-Individual,"['A0048', 'A0072']",09/09/2018,1.141035565,5.77E-05,micro
200,P0100,Kericho,Transportation & Logistics,Non-Individual,"['A0063', 'A0096', 'A0046']",29/01/2009,1.436550691,7.26E-05,medium
201,P0101,Nakuru,Transportation & Logistics,Non-Individual,"['A0097', 'A0020']",10/04/2011,1.138397705,5.76E-05,micro
202,P0102,Nairobi,Public Administration,Non-Individual,"['A0088', 'A0006', 'A0042']",15/04/2009,1.026618232,5.19E-05,micro
203,P0103,Kitale,Legal & Professional Services,Non-Individual,['A0012'],17/12/2015,1.189547393,6.01E-05,small
204,P0104,Kericho,Wholesale Trade,Non-Individual,"['A0015', 'A0012', 'A0024']",19/12/2020,1.057038568,5.34E-05,micro
205,P0105,Mombasa,Real Estate,Non-Individual,"['A0065', 'A0071']",21/12/2009,2.084084644,0.000105367,large
206,P0106,Nakuru,Arts & Culture,Non-Individual,"['A0024', 'A0048']",17/01/2018,2.329213983,0.00011776,large
207,P0107,Nyeri,Telecommunications,Non-Individual,"['A0057', 'A0080']",18/07/2014,1.235803595,6.25E-05,small
208,P0108,Kitale,Mining & Quarrying,Non-Individual,"['A0080', 'A0008', 'A0020']",29/01/2011,1.092820916,5.53E-05,micro
209,P0109,Mombasa,Hospitality,Non-Individual,"['A0086', 'A0073']",29/01/2012,1.300412577,6.57E-05,small
210,P0110,Nyeri,Transportation,Non-Individual,['A0061'],25/02/2009,1.005388744,5.08E-05,micro
211,P0111,Kitale,Entertainment & Media,Non-Individual,['A0097'],16/03/2011,1.013324786,5.12E-05,micro
212,P0112,Garissa,Real Estate,Non-Individual,"['A0058', 'A0015', 'A0069']",04/04/2007,1.279484194,6.47E-05,small
213,P0113,Eldoret,Telecommunications,Non-Individual,['A0066'],09/01/2009,2.601039045,0.000131503,large
214,P0114,Nyeri,ICT,Non-Individual,"['A0054', 'A0092']",26/02/2011,1.236491974,6.25E-05,small
215,P0115,Nyeri,Real Estate,Non-Individual,['A0023'],23/08/2020,3.158006495,0.000159662,large
216,P0116,Kericho,Construction,Non-Individual,['A0085'],29/07/2024,3.048452336,0.000154123,large
217,P0117,Nakuru,Entertainment & Media,Non-Individual,['A0049'],27/09/2015,2.259325745,0.000114227,large
218,P0118,Nairobi,Education,Non-Individual,"['A0096', 'A0043']",30/04/2024,2.678089862,0.000135398,large
219,P0119,Machakos,Entertainment & Media,Non-Individual,"['A0091', 'A0011']",30/08/2006,1.259946285,6.37E-05,small
220,P0120,Kisumu,ICT,Non-Individual,"['A0064', 'A0003', 'A0023']",12/03/2023,1.470223043,7.43E-05,medium
221,P0121,Mombasa,Water & Sanitation,Non-Individual,"['A0036', 'A0019', 'A0048']",23/02/2022,1.016385021,5.14E-05,micro
222,P0122,Garissa,Healthcare,Non-Individual,"['A0033', 'A0076']",26/05/2022,2.272282247,0.000114882,large
223,P0123,Nakuru,Waste Management,Non-Individual,"['A0063', 'A0065', 'A0007']",14/08/2014,1.150157364,5.81E-05,micro
224,P0124,Nairobi,Security Services,Non-Individual,"['A0059', 'A0060']",07/08/2021,1.354095489,6.85E-05,small
225,P0125,Eldoret,Wholesale Trade,Non-Individual,['A0015'],25/09/2009,2.26586995,0.000114557,large
226,P0126,Kisumu,Healthcare,Non-Individual,"['A0002', 'A0019']",24/11/2008,1.693656163,8.56E-05,medium
227,P0127,Machakos,Mining & Quarrying,Non-Individual,"['A0001', 'A0056', 'A0084']",18/06/2020,2.182317885,0.000110333,large
228,P0128,Eldoret,Real Estate,Non-Individual,"['A0057', 'A0066', 'A0045']",09/11/2020,1.715550418,8.67E-05,medium
229,P0129,Mombasa,Arts & Culture,Non-Individual,"['A0088', 'A0037']",28/03/2010,1.232444235,6.23E-05,small
230,P0130,Meru,Hospitality,Non-Individual,"['A0064', 'A0058']",15/07/2014,7.290249267,0.000368579,large
231,P0131,Eldoret,Wholesale Trade,Non-Individual,['A0098'],05/05/2008,2.228408412,0.000112663,large
232,P0132,Nairobi,Finance,Non-Individual,"['A0013', 'A0001']",12/10/2022,1.386611714,7.01E-05,small
233,P0133,Garissa,Real Estate,Non-Individual,"['A0076', 'A0061']",07/11/2014,1.247769131,6.31E-05,small
234,P0134,Kitale,Real Estate,Non-Individual,['A0090'],11/09/2020,2.680868384,0.000135539,large
235,P0135,Nyeri,Entertainment & Media,Non-Individual,"['A0094', 'A0051']",27/10/2014,1.003084896,5.07E-05,micro
236,P0136,Nairobi,Legal & Professional Services,Non-Individual,['A0076'],23/06/2021,1.046495825,5.29E-05,micro
237,P0137,Nairobi,Agriculture,Non-Individual,"['A0033', 'A0086']",19/02/2010,1.340961556,6.78E-05,small
238,P0138,Meru,Education,Non-Individual,"['A0049', 'A0058', 'A0071']",04/12/2017,1.449723273,7.33E-05,medium
239,P0139,Kisumu,Entertainment & Media,Non-Individual,['A0015'],22/08/2016,1.800385339,9.10E-05,medium
240,P0140,Garissa,Legal & Professional Services,Non-Individual,"['A0007', 'A0006', 'A0043']",29/03/2019,1.976755906,9.99E-05,medium
241,P0141,Thika,Legal & Professional Services,Non-Individual,"['A0031', 'A0057']",23/06/2012,1.176386857,5.95E-05,small
242,P0142,Kisumu,Transportation & Logistics,Non-Individual,"['A0053', 'A0034']",27/03/2014,1.315255511,6.65E-05,small
243,P0143,Machakos,Water & Sanitation,Non-Individual,"['A0044', 'A0067', 'A0002']",28/10/2005,1.183800466,5.99E-05,small
244,P0144,Nakuru,Transportation & Logistics,Non-Individual,"['A0031', 'A0050']",08/08/2007,2.593052692,0.000131099,large
245,P0145,Meru,Water & Sanitation,Non-Individual,"['A0068', 'A0084']",13/05/2015,1.086221934,5.49E-05,micro
246,P0146,Nyeri,Telecommunications,Non-Individual,"['A0023', 'A0070']",19/12/2018,2.172187215,0.000109821,large
